paper,family,Adam: A Method for Stochastic Optimization,Attention Is All You Need,Deep Residual Learning for Image Recognition,Efficient Estimation of Word Representations in Vector Space,Very Deep Convolutional Networks for Large-Scale Image Recognition,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Denoising Diffusion Implicit Models,Denoising Diffusion Probabilistic Models,Elucidating the Design Space of Diffusion-Based Generative Models,Score-Based Generative Modeling through Stochastic Differential Equations,A Simple Framework for Contrastive Learning of Visual Representations,Bootstrap your own latent: A new approach to self-supervised Learning,Exploring Simple Siamese Representation Learning,Revisiting Feature Prediction for Learning Visual Representations from Video,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,Black box variational inference for state space models,Deep Kalman Filters,Linear Variational State-Space Filtering,Variational Tracking and Prediction with Generative Disentangled State-Space Models,Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,Particle Filter Networks with Application to Visual Localization,Particle Filter Recurrent Neural Networks,The Neural Particle Filter,On the relationship between predictive coding and backpropagation,Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,Predictive Coding Networks and Inference Learning: Tutorial and Survey,Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,Predictive Coding: a Theoretical and Experimental Review,Understanding and Improving Optimization in Predictive Coding Networks,Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Dendritic predictive coding: A theory of cortical computation with spiking neurons,Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,Spiking Neural Predictive Coding for Continual Learning from Data Streams,Adaptive Neural Unscented Kalman Filter,Backprop KF: Learning Discriminative Deterministic State Estimators,Deep Robust Kalman Filter,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,Neural Kalman Filtering,PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,Dream to Control: Learning Behaviors by Latent Imagination,Learning Latent Dynamics for Planning from Pixels,Mastering Atari with Discrete World Models,Mastering Diverse Domains through World Models,World Models
Adam: A Method for Stochastic Optimization,control,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.17,0.20,0.17,0.17,0.25,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
Attention Is All You Need,control,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.12,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Deep Residual Learning for Image Recognition,control,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.20,0.00,0.00
Efficient Estimation of Word Representations in Vector Space,control,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
Very Deep Convolutional Networks for Large-Scale Image Recognition,control,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deep Unsupervised Learning using Nonequilibrium Thermodynamics,diffusion,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.12,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denoising Diffusion Implicit Models,diffusion,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
Denoising Diffusion Probabilistic Models,diffusion,0.00,0.00,0.00,0.00,0.00,0.20,0.20,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.12,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Elucidating the Design Space of Diffusion-Based Generative Models,diffusion,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.12,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00
Score-Based Generative Modeling through Stochastic Differential Equations,diffusion,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
