paper_id,method_id,method_structure,lineage,dataset,dataset_version,config_label,outcome,outcome_std,batch_size,learning_rate,training_steps,hidden_dim,num_layers,discount,planning_horizon,context_length,denoising_steps,guidance_scale,num_candidates,num_q_networks,model_rollout_length,expectile_tau,n_seeds,sampler,checkpoint_selection,critic_layernorm,policy_extraction,base_learner,discretization,source,value_type,notes
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,halfcheetah-medium-expert,unknown,main,88.9,0.3,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: halfcheetah-medium-expert,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,hopper-medium-expert,unknown,main,103.3,1.3,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.0001,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: hopper-medium-expert,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,walker2d-medium-expert,unknown,main,106.9,0.2,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: walker2d-medium-expert,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,halfcheetah-medium,unknown,main,42.8,0.3,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: halfcheetah-medium,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,hopper-medium,unknown,main,74.3,1.4,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: hopper-medium,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,walker2d-medium,unknown,main,79.6,0.55,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: walker2d-medium,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,halfcheetah-medium-replay,unknown,main,37.7,0.5,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: halfcheetah-medium-replay,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,hopper-medium-replay,unknown,main,93.6,0.4,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: hopper-medium-replay,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2205.09991,Diffuser,"[""predict@trajectory"", ""reconstruct@trajectory"", ""sample@trajectory""]",diffusion_planning,walker2d-medium-replay,unknown,main,70.6,1.6,32,4e-05,500000,missing,missing,0.997,32,not_applicable,20,0.1,missing,not_applicable,not_applicable,not_applicable,150,ddpm,missing,missing,missing,missing,missing,arXiv:2205.09991 Table 2 [Diffuser] dataset as printed: walker2d-medium-replay,reported_mean_over_seeds,std column is standard error over 150 planning seeds (Table 2 caption). Dataset names printed as 'Medium-Expert / HalfCheetah' etc.; no D4RL version suffix printed.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,halfcheetah-medium-expert,unknown,main,90.6,1.3,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: halfcheetah-medium-expert,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,hopper-medium-expert,unknown,main,111.8,1.8,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: hopper-medium-expert,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,walker2d-medium-expert,unknown,main,108.8,1.7,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: walker2d-medium-expert,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,halfcheetah-medium,unknown,main,49.1,1.0,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: halfcheetah-medium,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,hopper-medium,unknown,main,79.3,3.6,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: hopper-medium,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,walker2d-medium,unknown,main,82.5,1.4,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: walker2d-medium,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,halfcheetah-medium-replay,unknown,main,39.3,4.1,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: halfcheetah-medium-replay,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
2211.15657,DecisionDiffuser,"[""diffuse@state"", ""inverse dynamics@action"", ""predict@distribution"", ""sample@state""]",diffusion_planning,hopper-medium-replay,unknown,main,100.0,0.7,32,0.0002,2000000,missing,missing,missing,100,20,100,missing,missing,not_applicable,not_applicable,not_applicable,5,ddpm,missing,missing,missing,missing,missing,arXiv:2211.15657 Table 1 [Decision Diffuser (DD)] dataset as printed: hopper-medium-replay,reported_mean_over_seeds,std column is standard error over 5 random seeds (Table 1 caption). Dataset printed as 'Med-Expert / HalfCheetah' etc.
