paper_id,method_id,method_structure,lineage,dataset,dataset_version,config_label,outcome,raw_score,random_ref,human_ref,env_steps,replay_ratio,batch_size,learning_rate,n_step,discount,hidden_dim,num_layers,imagination_horizon,num_simulations,model_params,n_seeds,eval_episodes,sticky_actions,data_augmentation,checkpoint_selection,source,value_type,notes
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,alien,atari100k,main,6.223,616.9,184.8,7128.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Alien; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,amidar,atari100k,main,3.659,74.3,11.8,1720.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Amidar; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,assault,atari100k,main,57.741,527.2,233.7,742.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Assault; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,asterix,atari100k,main,10.655,1128.3,248.8,8503.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Asterix; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,bankheist,atari100k,main,2.602,34.2,15.0,753.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: BankHeist; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,battlezone,atari100k,main,3.313,4031.2,2895.0,37188.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: BattleZone; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,boxing,atari100k,main,64.103,7.8,0.3,12.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Boxing; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,breakout,atari100k,main,53.265,16.4,0.9,30.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: Breakout; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,choppercommand,atari100k,main,4.591,979.4,671.0,7388.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: ChopperCommand; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
1903.00374,SimPLe,"[""encode@input"", ""predict@distribution"", ""reconstruct@distribution"", ""sample@latent""]",world_model_imagination,crazyclimber,atari100k,main,193.91,62583.6,7339.5,35829.0,102400,missing,missing,missing,not_applicable,0.99,missing,missing,50,not_applicable,74,5,missing,no,missing,last,arXiv:1903.00374 Table 2 [SimPLe] game as printed: CrazyClimber; refs Table 2,derived_hns_from_reported_mean,"raw score; mean (std) over 5 training runs; Table 3 'SimPLe' column repeats the 'Ours, SD long' numbers"
