pair_id,variant_id,paper_id,benchmark,base_method,variant_method,variant_label,dataset,main_score,variant_score,delta,description,source
2011.07213|PLAS+P|main|walker2d-medium-expert,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,walker2d-medium-expert,89.6,97.2,7.6,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|halfcheetah-medium-expert,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,halfcheetah-medium-expert,96.6,99.3,2.7,"variant: main; conditions: {""max_latent_action"": ""0.5"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|walker2d-medium-replay,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,walker2d-medium-replay,30.2,14.3,-15.9,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|hopper-medium-replay,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,hopper-medium-replay,27.9,51.9,24.0,"variant: main; conditions: {""max_latent_action"": ""0.5"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|halfcheetah-medium-replay,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,halfcheetah-medium-replay,43.9,45.7,1.8,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|walker2d-medium,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,walker2d-medium,44.6,66.9,22.3,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|hopper-medium,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,hopper-medium,32.9,36.9,4.0,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|halfcheetah-medium,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,halfcheetah-medium,39.3,42.2,2.9,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|walker2d-random,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,walker2d-random,3.1,6.8,3.7,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon). paper notes 'all the experiments for walker2d-random are unstable' (Appendix C); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|main|hopper-random,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,hopper-random,10.5,13.3,2.8,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
