board,task,dataset,metric,lower_is_better,paper_a,paper_b,score_a,score_b,label_a_better
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,2211.05778,87.2,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2105.03889,88.3,84.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,2303.08810,74.9,85.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2106.02253,84.8,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.03889,2204.12511,84.1,87.2,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,2103.13027,86.01,80.98,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2206.09379,88.3,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2107.02960,85.4,82.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.11946,2106.02253,84.4,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1904.02877,2207.10666,74.96,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,2202.10108,80.53,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,2104.07916,77.0,71.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.03889,2202.03555,84.1,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2206.09379,85.4,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2105.03889,86.61,84.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,1911.11907,85.5,75.7,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2107.00651,85.4,82.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.11946,2010.14819,84.4,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.09379,2204.12511,38.3,87.2,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2211.05778,79.0,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2209.12400,79.4,86.01,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2103.13027,78.4,80.98,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,2010.14819,87.2,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2107.00651,86.61,82.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,2204.12511,85.8,87.2,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.10697,2010.14819,82.5,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2306.01705,1905.11946,81.89,84.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2207.10666,88.3,86.5,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2101.03057,86.61,77.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2105.02723,79.4,74.9,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2209.12400,84.7,86.01,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1906.03516,2105.10305,75.1,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,2105.03889,85.8,84.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,1905.04899,82.3,80.53,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.00651,2207.10666,82.4,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2106.02253,79.0,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,1905.11946,77.0,84.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,1905.04899,86.61,80.53,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,1906.03516,87.2,75.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2211.09807,79.0,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2111.12710,84.7,88.3,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,1911.11907,84.8,75.7,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2105.10305,85.5,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2105.02723,84.8,74.9,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.10305,2404.11202,68.6,80.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2205.13213,85.5,84.7,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.10697,2211.05778,82.5,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,1906.03516,86.01,75.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,1902.05509,84.8,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,2211.16961,75.7,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,2211.05778,85.8,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2010.14819,1902.05509,79.4,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,2306.01705,86.01,81.89,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2308.09372,88.3,84.91,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2106.02253,2010.14819,76.6,79.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,2211.09807,75.7,89.6,0
