env,sampler,steps,seed,return,score,ep_len,terminal,seconds
halfcheetah-medium-v2,ddpm,20,0,NA,NA,NA,NA,971
halfcheetah-medium-v2,ddim,20,0,NA,NA,NA,NA,1282
halfcheetah-medium-v2,ddim,10,0,NA,NA,NA,NA,602
halfcheetah-medium-v2,ddim,5,0,NA,NA,NA,NA,380
halfcheetah-medium-v2,ddim,2,0,NA,NA,NA,NA,174
hopper-medium-v2,ddpm,20,0,NA,NA,NA,NA,732
hopper-medium-v2,ddim,20,0,NA,NA,NA,NA,652
hopper-medium-v2,ddim,10,0,NA,NA,NA,NA,401
hopper-medium-v2,ddim,5,0,NA,NA,NA,NA,164
hopper-medium-v2,ddim,2,0,NA,NA,NA,NA,72
walker2d-medium-v2,ddpm,20,0,NA,NA,NA,NA,1180
walker2d-medium-v2,ddim,20,0,NA,NA,NA,NA,1158
walker2d-medium-v2,ddim,10,0,NA,NA,NA,NA,642
walker2d-medium-v2,ddim,5,0,NA,NA,NA,NA,320
walker2d-medium-v2,ddim,2,0,NA,NA,NA,NA,97
halfcheetah-medium-v2,ddpm,20,1,NA,NA,NA,NA,936
halfcheetah-medium-v2,ddim,20,1,NA,NA,NA,NA,1230
halfcheetah-medium-v2,ddim,10,1,NA,NA,NA,NA,664
halfcheetah-medium-v2,ddim,5,1,NA,NA,NA,NA,292
halfcheetah-medium-v2,ddim,2,1,NA,NA,NA,NA,213
hopper-medium-v2,ddpm,20,1,NA,NA,NA,NA,853
hopper-medium-v2,ddim,20,1,NA,NA,NA,NA,1235
hopper-medium-v2,ddim,10,1,NA,NA,NA,NA,690
hopper-medium-v2,ddim,5,1,NA,NA,NA,NA,294
hopper-medium-v2,ddim,2,1,NA,NA,NA,NA,83
walker2d-medium-v2,ddpm,20,1,NA,NA,NA,NA,1212
walker2d-medium-v2,ddim,20,1,NA,NA,NA,NA,933
walker2d-medium-v2,ddim,10,1,NA,NA,NA,NA,770
walker2d-medium-v2,ddim,5,1,NA,NA,NA,NA,300
walker2d-medium-v2,ddim,2,1,NA,NA,NA,NA,105
halfcheetah-medium-v2,ddpm,20,2,NA,NA,NA,NA,1778
halfcheetah-medium-v2,ddim,20,2,NA,NA,NA,NA,2004
halfcheetah-medium-v2,ddim,10,2,NA,NA,NA,NA,546
halfcheetah-medium-v2,ddim,5,2,NA,NA,NA,NA,381
halfcheetah-medium-v2,ddim,2,2,NA,NA,NA,NA,112
hopper-medium-v2,ddpm,20,2,NA,NA,NA,NA,658
hopper-medium-v2,ddim,20,2,NA,NA,NA,NA,503
hopper-medium-v2,ddim,10,2,NA,NA,NA,NA,583
hopper-medium-v2,ddim,5,2,NA,NA,NA,NA,398
hopper-medium-v2,ddim,2,2,NA,NA,NA,NA,336
walker2d-medium-v2,ddpm,20,2,NA,NA,NA,NA,1455
walker2d-medium-v2,ddim,20,2,NA,NA,NA,NA,754
walker2d-medium-v2,ddim,10,2,NA,NA,NA,NA,483
walker2d-medium-v2,ddim,5,2,NA,NA,NA,NA,223
walker2d-medium-v2,ddim,2,2,NA,NA,NA,NA,103
