env,sampler,steps,seed,return,score,ep_len,terminal
halfcheetah-medium-v2,ddim,10,0,4981.46,0.4238,1000,1
halfcheetah-medium-v2,ddim,10,1,5002.56,0.4255,1000,1
halfcheetah-medium-v2,ddim,10,2,4939.72,0.4204,1000,1
halfcheetah-medium-v2,ddim,20,0,5054.75,0.4297,1000,1
halfcheetah-medium-v2,ddim,20,1,4915.7,0.4185,1000,1
halfcheetah-medium-v2,ddim,20,2,4992.41,0.4247,1000,1
halfcheetah-medium-v2,ddim,2,0,4583.58,0.3918,1000,1
halfcheetah-medium-v2,ddim,2,1,4526.8,0.3872,1000,1
halfcheetah-medium-v2,ddim,2,2,4554.19,0.3894,1000,1
halfcheetah-medium-v2,ddim,5,0,4606.85,0.3936,1000,1
halfcheetah-medium-v2,ddim,5,1,4924.6,0.4192,1000,1
halfcheetah-medium-v2,ddim,5,2,4874.2,0.4152,1000,1
halfcheetah-medium-v2,ddpm,20,0,4855.66,0.4137,1000,1
halfcheetah-medium-v2,ddpm,20,1,5171.58,0.4391,1000,1
halfcheetah-medium-v2,ddpm,20,2,5204.85,0.4418,1000,1
hopper-medium-v2,ddim,10,0,2242.31,0.6952,690,1
hopper-medium-v2,ddim,10,1,2563.95,0.794,776,1
hopper-medium-v2,ddim,10,2,3282.91,1.0149,1000,1
hopper-medium-v2,ddim,20,0,1543.01,0.4803,478,1
hopper-medium-v2,ddim,20,1,1826.47,0.5674,557,1
hopper-medium-v2,ddim,20,2,1501.93,0.4677,459,1
hopper-medium-v2,ddim,2,0,1492.32,0.4648,465,1
hopper-medium-v2,ddim,2,1,1524.87,0.4748,482,1
hopper-medium-v2,ddim,2,2,2176.25,0.6749,676,1
hopper-medium-v2,ddim,5,0,1704.87,0.5301,531,1
hopper-medium-v2,ddim,5,1,2217.23,0.6875,688,1
hopper-medium-v2,ddim,5,2,2078.17,0.6448,656,1
hopper-medium-v2,ddpm,20,0,1452.53,0.4525,459,1
hopper-medium-v2,ddpm,20,1,1392.25,0.434,437,1
hopper-medium-v2,ddpm,20,2,1735.14,0.5394,539,1
walker2d-medium-v2,ddim,10,0,3808.71,0.8293,1000,1
walker2d-medium-v2,ddim,10,1,2608.39,0.5678,688,1
walker2d-medium-v2,ddim,10,2,3991.86,0.8692,1000,1
walker2d-medium-v2,ddim,20,0,3670.39,0.7992,1000,1
walker2d-medium-v2,ddim,20,1,1759.0,0.3828,473,1
walker2d-medium-v2,ddim,20,2,2538.2,0.5525,662,1
walker2d-medium-v2,ddim,2,0,2526.98,0.5501,676,1
walker2d-medium-v2,ddim,2,1,1408.79,0.3065,471,1
walker2d-medium-v2,ddim,2,2,3693.7,0.8043,910,1
walker2d-medium-v2,ddim,5,0,3756.46,0.8179,1000,1
walker2d-medium-v2,ddim,5,1,3887.27,0.8464,1000,1
walker2d-medium-v2,ddim,5,2,3014.39,0.6563,811,1
walker2d-medium-v2,ddpm,20,0,3543.01,0.7714,1000,1
walker2d-medium-v2,ddpm,20,1,2571.43,0.5598,724,1
walker2d-medium-v2,ddpm,20,2,3736.23,0.8135,1000,1
