env,cfg,score_x100,sd,n,drop_pct
halfcheetah,ddpm-20,43.2,1.6,3,0.0
halfcheetah,ddim-20,42.4,0.6,3,1.7
halfcheetah,ddim-10,42.3,0.3,3,1.9
halfcheetah,ddim-5,40.9,1.4,3,5.1
halfcheetah,ddim-2,38.9,0.2,3,9.7
hopper,ddpm-20,47.5,5.6,3,0.0
hopper,ddim-20,50.5,5.4,3,-6.3
hopper,ddim-10,83.5,16.4,3,-75.6
hopper,ddim-5,62.1,8.1,3,-30.6
hopper,ddim-2,53.8,11.9,3,-13.2
walker2d,ddpm-20,71.5,13.6,3,0.0
walker2d,ddim-20,57.8,20.9,3,19.1
walker2d,ddim-10,75.5,16.4,3,-5.7
walker2d,ddim-5,77.4,10.3,3,-8.2
walker2d,ddim-2,55.4,24.9,3,22.6
